,title
0,Our Blues
1,My Liberation Notes
2,Goo Pil-soo Is Not There
3,Stranger Things
4,Alchemy of Souls
5,Love Again
6,I Am Solo
7,Change Days
8,Jujutsu Kaisen
9,Money Heist: Korea - Joint Economic Area
10,All American
11,The Lincoln Lawyer
12,Ozark
13,Wrong Side of the Tracks
