,title
0,Our Blues
1,My Liberation Notes
2,Green Mothers' Club
3,Tomorrow
4,Love Again
5,Twenty Five Twenty One
6,The Sound of Magic
7,Goo Pil-soo Is Not There
8,I Am Solo
9,The Iron Squad
