,title
0,Start-Up
1,Private Lives
2,The Queen's Gambit
3,Do Do Sol Sol La La Sol
4,Emily in Paris
5,18 Again
6,Reply 1988
7,Record of Youth
8,My Golden Kids
9,Hospital Playlist
